layer,op,mean_sim,rho,slope,r2,p
14,/,0.7910130637060699,0.6438793501541505,0.0021998447948857534,0.29557196790300644,0.0073319166633527754
15,+,0.7846252969363618,-0.7331668669642837,-0.0014544276103377889,0.5534605939809021,1.7597247421876307e-15
15,-,0.801804638745798,-0.7524556648268252,-0.003292124284173414,0.546968312179259,3.129784921718481e-15
15,*,0.8229394923788272,-0.41975467249294285,-8.718641108102987e-05,0.104656065324423,0.003219590254172722
15,/,0.8190507206394283,0.5252296208167693,0.001656796871409311,0.20576551608512395,0.029704225714001692
16,+,0.8232951950110806,-0.7910898923718217,-0.001305294894633034,0.6133367789309774,5.678483561852389e-18
16,-,0.8392276438356687,-0.7545510421636251,-0.0026487738133631677,0.5359439041615773,8.169565057715916e-15
16,*,0.8517569981446205,-0.40651412677468884,-8.400633258122539e-05,0.08779399756655987,0.007234441289994197
16,/,0.852330840963442,0.5334123607710716,0.0015227907273586937,0.24055779638650257,0.017496935986113037
17,+,0.8432383603502244,-0.7974213298381522,-0.0013709362676924454,0.6269548443804254,1.3632463188395158e-18
17,-,0.8591163227430829,-0.7504282456739216,-0.002557470424787944,0.5361323847456063,8.038166640475178e-15
17,*,0.8678815150130814,-0.4836979222927022,-0.00010893754393639882,0.14256050138232593,0.0005110531916653831
17,/,0.8717746550806702,0.48022455106810746,0.0012888413070968373,0.22325672640601338,0.022803364399713665
18,+,0.8568896943782581,-0.8175482786354136,-0.0013489119820932775,0.6409906405025093,2.9651739419092634e-19
18,-,0.8724860619047631,-0.743994870931747,-0.0021641152665938324,0.5109904771482829,6.615891903226484e-14
18,*,0.8776098818500981,-0.4514212677559686,-0.00010969399922865133,0.11192449087836712,0.002268381755222148
18,/,0.883262382798816,0.4096484189622515,0.001218905554823967,0.21415819809942915,0.026175660247175173
19,+,0.8786771937283734,-0.8490582232352907,-0.0013136917897707094,0.6965939894189251,3.6975315950227217e-22
19,-,0.8940447031964504,-0.7489105129002395,-0.0020586067009355086,0.5389065157471317,6.326814757396784e-15
19,*,0.8936047527261848,-0.43009178796410535,-0.00010112472912973359,0.10149865965740631,0.0037475204573492
19,/,0.9011002147782708,0.39174867531221547,0.0010153105108658715,0.1915116855943048,0.03676533058406006
20,+,0.8862864661050931,-0.8474498795497469,-0.0013145451878230382,0.7115558067495084,4.9652507351910055e-23
20,-,0.9016855616321418,-0.7428962136254248,-0.00203949974100468,0.5299161033959919,1.3675400392340133e-14
20,*,0.8983501694723055,-0.44350179459172273,-0.00011107849893447896,0.10450832382055379,0.00324255778426627
20,/,0.9073181383373915,0.38714588408792044,0.0010583687276560715,0.21223457388783076,0.026947142116163714
21,+,0.8861103555756027,-0.841095789355451,-0.0013267102143911123,0.6961518024596822,3.9176726520246e-22
21,-,0.9021640003318164,-0.7440854818436085,-0.0020443589964877214,0.527839746927134,1.6306462211256734e-14
21,*,0.897455091780876,-0.4582900832821618,-0.00012705756235073637,0.11578552897393037,0.0018825251407522234
21,/,0.9072499492054173,0.39839715152508604,0.0011200537983596937,0.2105880226149034,0.027624710091744185
22,+,0.8867998599285504,-0.8592859299116706,-0.0015145706870716964,0.7245854252981644,7.928215844192056e-24
22,-,0.9027446368272435,-0.7288401959228916,-0.0016634662923381354,0.44515595598249597,1.0370466630221107e-11
22,*,0.8968906191931572,-0.45345479866832844,-0.00015842126966031378,0.12293975384983812,0.001331366774812718
22,/,0.9092118494216317,0.44186795753231617,0.00140675039038873,0.24132608287722845,0.01729085726983008
23,+,0.8891511137985445,-0.8428513757727699,-0.0015816413406206321,0.6985851310828481,2.846839108144518e-22
23,-,0.9045755318136123,-0.7059949197697817,-0.001532123350464257,0.40624965301090754,1.5746710962750297e-10
23,*,0.897595484120666,-0.4764336979779945,-0.00018597454756683472,0.1454548360695729,0.0004432661247515411
23,/,0.9107897953757447,0.4341966388251579,0.0014768596540805552,0.24317332620022722,0.016804724696438164
24,+,0.8887577045826077,-0.8346284355213283,-0.0016076728320565177,0.675198320362836,5.538791735068074e-21
24,-,0.9034387373813468,-0.6261893591476633,-0.0012683196581019234,0.3294475470105891,2.121476358057064e-08
24,*,0.896254601060387,-0.507524126149185,-0.00021200728286993142,0.16606574417902617,0.00015943963131899024
24,/,0.9104134846605652,0.4889187122695535,0.0016039790044309367,0.257935215070449,0.013358151333803336
25,+,0.8873620282691036,-0.8225771842437334,-0.0016490567857878236,0.6552445250051508,5.921939343256307e-20
25,-,0.9015212781393243,-0.5452285093993092,-0.0010488748558521016,0.24983030324415725,2.0271053078353108e-06
25,*,0.8934509720794404,-0.5015703995335535,-0.00023557978421512933,0.16994306689106817,0.00013128630042631302
25,/,0.9092428250108868,0.4894301335166974,0.001702733358429124,0.2568102118353186,0.013595317282870622
26,+,0.8871602229755898,-0.8012609672282881,-0.0016744675448298423,0.6166937110488241,4.013374450582621e-18
26,-,0.900249696209866,-0.40812287338870146,-0.000700835504018778,0.12870253809241752,0.001006212429815262
26,*,0.8925934998017705,-0.5057165431159762,-0.0002639533001227616,0.17286379769843196,0.00011336325085275395
26,/,0.909208884753899,0.5467093131968125,0.001805406994843039,0.26420791455434817,0.012105595851354943
27,+,0.8868182445550815,-0.7737718818422704,-0.001611921631886752,0.5774621318005808,1.944654719091298e-16
27,-,0.8988258998836699,-0.32326575443029804,-0.0004980272065271024,0.0737178930050339,0.014212000408476377
27,*,0.8909360513017074,-0.5023951092924551,-0.00029308946741456594,0.17951211989516624,8.104948437211474e-05
27,/,0.9087562615019401,0.6091027053483664,0.0019973649479407777,0.2766561301587263,0.009939671501865484
28,+,0.8828690833827834,-0.7689241980576739,-0.00171659431635104,0.5702947565026976,3.801814365577054e-16
28,-,0.8939149988775305,-0.10704546600051669,-0.00010321965519677612,0.0031289943348882547,0.6198940275424856
28,*,0.8865129874680807,-0.5045642089323056,-0.0003284822633185567,0.1826943586807043,6.89744733318585e-05
28,/,0.9062377530891292,0.6300709764812656,0.0022516265639418672,0.28608285762148666,0.008547413378116429
29,+,0.8818860097378068,-0.7650958870315206,-0.0018084725512773018,0.557383899098957,1.2376248143334783e-15
29,-,0.8913949889289693,0.06528516199629437,0.000257467200383323,0.016830971467823162,0.2483582091488673
29,*,0.8842331295349721,-0.5144607260391234,-0.00036550030998218797,0.1879555713086882,5.2771474314176775e-05
29,/,0.9057413766525204,0.673030361241352,0.002427877663817036,0.28317507168977435,0.008956066588297208
30,+,0.8784820374760078,-0.7463734073681143,-0.0017835788731763833,0.5392455838282069,6.1437719156163075e-15
30,-,0.8865459441901538,0.24527241204541197,0.0006504122501787046,0.09078875453086602,0.006266632704187408
30,*,0.8798549157430623,-0.5148335400397228,-0.00038615947031664296,0.18914518647854872,4.9662083223935135e-05
30,/,0.9021588990144501,0.6663818850284814,0.0025885325142493295,0.2740182781520245,0.010365748155888468
31,+,0.8753640911724344,-0.7432360045449057,-0.001873064340538986,0.5263772700999237,1.8449658512181437e-14
31,-,0.8817309744693036,0.3965813084903281,0.0011276507255975731,0.19880812552962238,3.024594638522056e-05
31,*,0.8769375423465303,-0.5203240735030943,-0.00041130739032490995,0.1946575018159663,3.744730600020371e-05
31,/,0.9004531948479105,0.6822359436899419,0.002796682765501914,0.28073308704376826,0.009313318278010557
32,+,0.8704150903513657,-0.7393057562429082,-0.0019356664896250965,0.5235083549545453,2.348122950599467e-14
32,-,0.8759294327846856,0.48052099196613274,0.0014602710963646226,0.2637443423610033,9.43868122647421e-07
32,*,0.871267947476274,-0.5196349324716835,-0.0004327714409859625,0.18806025858837683,5.249034911301554e-05
32,/,0.8967611804548451,0.6934872111271074,0.002875161730354842,0.2762348125336417,0.010006603545298276
33,+,0.8585586767377716,-0.7412085853920022,-0.002104961033781052,0.5238877860492144,2.2745989988838366e-14
33,-,0.860434510151515,0.6756402642961403,0.0025510681688174744,0.4221978186991798,5.274891092278445e-11
33,*,0.8565862934247641,-0.5145398077968263,-0.0005133112751309785,0.1884088747170653,5.156473740052315e-05
33,/,0.8857667353434104,0.7001356873399778,0.0033725875008227832,0.2618491533344068,0.012563038261341928
34,+,0.8550117220528947,-0.7565784613165288,-0.0020143682423276405,0.5525512975528999,1.9084612529515945e-15
34,-,0.8512191107732803,0.7504962038578178,0.003839657586178243,0.5420735676845939,4.805447238404616e-15
34,*,0.8453850239753864,-0.521397325929062,-0.0005806641281378073,0.1942569532525229,3.822536220586104e-05
34,/,0.8772446132610251,0.6945100536213951,0.003859010101245556,0.24939837117960276,0.015259890635157368
35,+,0.8482613348858606,-0.7618225678405198,-0.0019070611666222644,0.567649041409261,4.855754550000237e-16
35,-,0.8407354157920963,0.7570768213317677,0.004688961968345766,0.5963379605532995,3.1488720227802486e-17
35,*,0.8319588919580264,-0.538851799593484,-0.000619925807736966,0.21020090764790036,1.6752639685818653e-05
35,/,0.8651349933799297,0.7349123321457619,0.00418415579645934,0.24483696956273293,0.01637799636653417
36,+,0.5454688864974039,0.49015972771541216,0.0030506432826101783,0.1792966194778381,8.193839305257311e-05
36,-,0.5397636265072567,0.6545958800162799,0.004968921051515152,0.3663285593680166,2.1607979915445135e-09
36,*,0.4180315598765583,0.6497018291050102,0.001265237693975008,0.3399929816610361,1.1176956797831262e-08
36,/,0.41831930965227726,0.38970299032364,0.010935696189389603,0.1416705369125744,0.07669279802182286
