n,model,human_MNL,residual,prominent
33,0.3064151489884975,0.7592569699389436,-0.45284182095044617,False
34,0.312086830775091,0.7657394585211276,-0.4536526277460366,False
35,0.3101888927796642,0.7720340221751377,-0.4618451293954735,False
36,0.32051648785375014,0.7781512503836435,-0.4576347625298934,False
37,0.3424428778686528,0.7841008620334974,-0.4416579841648446,False
38,0.34638047116611625,0.789891798308405,-0.4435113271422887,False
39,0.34210297977985005,0.7955323035132496,-0.4534293237333995,False
40,0.28642246324012605,0.8010299956639811,-0.514607532423855,False
41,0.3368073516605641,0.8063919283598677,-0.46958457669930365,False
42,0.3509402610647015,0.8116246451989502,-0.46068438413424867,False
43,0.36193623616676257,0.8167342277897932,-0.45479799162303064,False
44,0.3379098359200359,0.8217263382430936,-0.48381650232305773,False
45,0.32346809987684233,0.8266062568876718,-0.5031381570108294,False
46,0.3786041774425907,0.8313789158407869,-0.45277473839819626,False
47,0.3669343276368255,0.8360489289678587,-0.46911460133103317,False
48,0.3571223105782537,0.8406206186877936,-0.48349830810953986,False
49,0.3703643644751816,0.8450980400142567,-0.4747336755390751,False
50,0.22719790878217577,0.8494850021680093,-0.6222870933858335,True
51,0.3346921492427729,0.8537850880489681,-0.5190929388061952,False
52,0.41496374464596314,0.8580016718173995,-0.44303792717143636,False
53,0.3931951606607059,0.8621379348003945,-0.46894277413968855,False
54,0.39567971843815897,0.8661968799114842,-0.47051716147332523,False
55,0.3766586731565856,0.8701813447471219,-0.49352267159053637,False
56,0.3841594626804893,0.8740940135031002,-0.48993455082261095,False
57,0.39043980539527506,0.8779374278362456,-0.48749762244097056,False
58,0.401908775037094,0.8817139967814686,-0.47980522174437457,False
59,0.41397288884724653,0.8854260058210721,-0.4714531169738256,False
60,0.23759150635328316,0.8890756251918217,-0.6514841188385385,False
61,0.41219256501139806,0.8926649175053835,-0.4804723524939854,False
62,0.4299351841762082,0.8961958447491268,-0.46626066057291865,False
63,0.4132506979456025,0.8996702747267907,-0.48641957678118825,False
64,0.08580860662512049,0.9030899869919434,-0.817281380366823,False
65,0.42575748404134717,0.9064566783214276,-0.48069919428008046,False
66,0.44214265282732135,0.9097719677709342,-0.4676293149436128,False
67,0.42924112120977276,0.9130374013504131,-0.48379628014064036,False
68,0.44430093894320094,0.9162544563531181,-0.47195351740991714,False
69,0.5646903711999305,0.9194245453686276,-0.3547341741686971,False
70,0.43839778840219834,0.9225490200071285,-0.4841512316049301,False
71,0.4556488664038802,0.9256291743595375,-0.4699803079556573,False
72,0.47265432142413455,0.9286662482156341,-0.4560119267914996,False
73,0.47261040222460166,0.9316614300602278,-0.4590510278356262,False
74,0.4602228732538608,0.9346158598654881,-0.4743929866116273,False
75,0.46786486321372783,0.9375306316958498,-0.469665768482122,False
76,0.4591599516042209,0.9404067961403956,-0.48124684453617467,False
77,0.4889665770443914,0.9432453625862409,-0.45427878554184953,False
78,0.4697956625578827,0.9460473013452401,-0.4762516387873574,False
79,0.4855084076148007,0.9488135456452206,-0.4633051380304199,False
80,0.6135285531866689,0.9515449934959717,-0.3380164403093028,False
81,0.48532054638206906,0.9542425094393249,-0.4689219630572558,False
82,0.5463765872526255,0.9569069261918584,-0.41053033893923285,False
83,0.5164553203255716,0.959539046188037,-0.44308372586246536,False
84,0.5084589221692912,0.9621396430309407,-0.45368072086164946,False
85,0.49848630283435025,0.9647094628571463,-0.46622316002279607,False
86,0.5171544470271426,0.9672492256217837,-0.4500947785946411,False
87,0.5053430197289788,0.9697596263093091,-0.46441660658033035,False
88,1.0,0.9722413360750843,0.02775866392491566,False
89,0.5002221628989804,0.9746950033224563,-0.47447284042347593,False
90,0.535502809175878,0.9771212547196624,-0.4416184455437844,False
91,0.5458233437514237,0.9795206961605466,-0.4336973524091229,False
92,0.5259155692184582,0.9818939136727776,-0.4559783444543194,False
93,0.5335853395185084,0.9842414742769675,-0.4506561347584591,False
94,0.5802232041468709,0.9865639267998492,-0.40634072265297827,False
95,0.5892046287817616,0.9888618026444238,-0.3996571738626622,False
96,0.56058255245832,0.9911356165197841,-0.4305530640614641,False
97,0.5713916059110042,0.9933858671331224,-0.42199426122211814,False
98,0.5441105608939707,0.9956130378462474,-0.45150247695227674,False
99,0.5968156127551174,0.9978175972987748,-0.40100198454365743,False
100,0.7215910362310315,1.0,-0.2784089637689685,True
